ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2
1, 0.0, -1.4050458899821971, 1.2401708951966208, -0.051166366855137646, 0.13763182847865707, -3.3915705554599107, 9.144136459346974, 1.3956388833239783, 1.076833339331569
2, 0.01, -1.4055575536507485, 1.2415472134814074, -0.08508207240973675, 0.2290731930721268, -3.3624480086924535, 9.097513146285596, 1.3783772524009474, 1.1228643542540755
3, 0.02, -1.406408374374846, 1.2438379454121287, -0.11870655249666129, 0.3200483245349828, -3.321988219335825, 9.03294085915718, 1.3606727230424132, 1.1688516896134302
4, 0.03, -1.4075954398998125, 1.2470384286574785, -0.15192643469001954, 0.41037773312655457, -3.270491891493865, 8.951098578260375, 1.342574752806357, 1.2146998827129925
5, 0.04, -1.4091147042467127, 1.251142205988744, -0.1846313536049582, 0.4998887189091583, -3.2083303513830153, 8.852829807357576, 1.324130524654348, 1.2603147984220306
6, 0.05, -1.4109610177827623, 1.2561410931778356, -0.21671465711878835, 0.5884170169827341, -3.1359349543969017, 8.739122243803799, 1.3053850030548968, 1.3056045595985812
7, 0.06, -1.4131281643539502, 1.262025263347663, -0.24807400666275736, 0.6758082394207721, -3.053785036963852, 8.611084751000142, 1.2863810926547736, 1.3504803952278228
8, 0.07, -1.4156089044205777, 1.2687833457418707, -0.2786118570323959, 0.7619190869307735, -2.962394855567929, 8.469922530944807, 1.2671598888626878, 1.3948573878296149
9, 0.08, -1.4183950229909017, 1.2764025366111784, -0.3082358055880752, 0.8466183122402215, -2.8622999597094356, 8.316911408099426, 1.2477610075656986, 1.4386551059061012
10, 0.09, -1.4214773810467825, 1.2848687197335806, -0.33685880518516953, 0.9297874263212158, -2.754043425770014, 8.153372097952083, 1.2282229800005067, 1.481798111720698
11, 0.1, -1.4248459690986341, 1.2941665939967928, -0.36439923944286967, 1.0113211473007366, -2.6381623367233153, 7.980645254801466, 1.2085836986659824, 1.524216339300452
12, 0.11, -1.4284899614930628, 1.3042798054698002, -0.3907808628101028, 1.0911275998487513, -2.5151748344698355, 7.800067980006098, 1.1888809008344499, 1.565845341932018
