start_time, random_ID, end_time, random_V, random_Z, pos_j1, pos_j2, pos_j3, pos_j4, pos_j5, pos_j6, vel_j1, vel_j2, vel_j3, vel_j4, vel_j5, vel_j6, torq_j1, torq_j2, torq_j3, torq_j4, torq_j5, torq_j6
0.01, 347, 0.01, 189.661, 29.5678, 71.6887, 20.4095, -71.9773, 60.2007, 42.3472, 13.3291, 0.00065829, 0.000121653, -0.00052355, 0.000426211, 8.50432E-5, 9.27349E-5, 0.0385703, -47.8126, -14.9172, 0.122358, -0.0531994, 0.00190086
0.02, 347, 0.02, 189.661, 29.5678, 71.6887, 20.4096, -71.9773, 60.2007, 42.3472, 13.3291, 0.000204632, 3.78185E-5, -0.000162746, 0.000132485, 2.64349E-5, 2.88259E-5, 0.0119939, -47.8226, -14.9025, 0.118678, -0.0562974, 0.000590854
0.03, 347, 0.03, 189.661, 29.5678, 71.6884, 20.409, -71.9768, 60.2007, 42.3472, 13.3291, -0.111989, -0.184006, 0.206916, 0.000994492, 0.00996468, 0.00557062, -4.43101, -50.041, -12.7926, 0.396255, 0.983505, 0.452194
0.04, 347, 0.04, 189.661, 29.5678, 71.6796, 20.3964, -71.9555, 60.2014, 42.35, 13.3307, -1.41184, -2.05102, 3.86369, 0.146049, 0.561716, 0.322258, -34.2975, -83.991, 10.3876, 2.61876, 5.41457, 2.54357
0.05, 347, 0.05, 189.661, 29.5678, 71.6595, 20.3643, -71.8888, 60.2043, 42.3605, 13.3368, -3.27627, -5.4579, 11.8418, 0.55714, 1.94366, 1.11985, -56.3914, -120.006, 30.4575, 3.44842, 7.86975, 3.88321
0.06, 347, 0.06, 189.661, 29.5678, 71.5953, 20.2476, -71.6181, 60.2183, 42.4074, 13.3638, -7.02689, -13.2463, 31.4135, 1.66719, 5.54649, 3.20277, -61.5578, -130.715, 37.3531, 4.32114, 11.6395, 5.87086
0.07, 347, 0.07, 189.661, 29.5678, 71.5261, 20.1155, -71.302, 60.2353, 42.464, 13.3965, -9.6474, -18.4758, 44.3492, 2.41696, 7.98245, 4.61102, -50.8875, -111.214, 27.4962, 4.73299, 12.9717, 6.51744
0.08, 347, 0.08, 189.661, 29.5678, 71.3868, 19.8545, -70.6759, 60.2698, 42.578, 13.4624, -12.7771, -23.4918, 56.2928, 3.12518, 10.3458, 5.97552, -38.2341, -85.1966, 14.1628, 5.07998, 13.64, 6.78172
0.09, 347, 0.09, 189.661, 29.5678, 71.2779, 19.6582, -70.2052, 60.2962, 42.6654, 13.5128, -13.9558, -24.8002, 59.5131, 3.35437, 11.1278, 6.42654, -33.9599, -76.4243, 9.56797, 5.18701, 13.7831, 6.82532
0.1, 347, 0.1, 189.661, 29.5678, 71.1028, 19.3555, -69.476, 60.338, 42.804, 13.5929, -14.7765, -25.0138, 60.473, 3.50676, 11.6534, 6.72953, -31.0769, -70.2933, 6.31404, 5.25832, 13.8598, 6.8435
0.11, 347, 0.11, 189.661, 29.5678, 70.9825, 19.1556, -68.9908, 60.3664, 42.8987, 13.6476, -14.9886, -24.5996, 59.8958, 3.54677, 11.7926, 6.80972, -30.3317, -68.8291, 5.46178, 5.27705, 13.8775, 6.84681
0.12, 347, 0.12, 189.661, 29.5678, 70.8004, 18.864, -68.2761, 60.4095, 43.042, 13.7303, -15.0953, -23.6917, 58.389, 3.57062, 11.8759, 6.85772, -29.9151, -68.0568, 4.91158, 5.2893, 13.8878, 6.84861
0.13, 347, 0.13, 189.661, 29.5678, 70.6786, 18.6761, -67.8106, 60.4383, 43.1379, 13.7857, -15.1048, -23.0253, 57.2521, 3.5764, 11.8962, 6.86941, -29.8265, -67.8141, 4.74378, 5.2928, 13.8902, 6.84897
0.14, 347, 0.14, 189.661, 29.5678, 70.496, 18.4043, -67.1297, 60.4816, 43.2819, 13.8688, -15.0856, -22.0402, 55.5476, 3.57961, 11.9075, 6.87593, -29.8027, -67.8519, 4.6033, 5.29524, 13.8918, 6.84924
0.15, 347, 0.15, 189.661, 29.5678, 70.3744, 18.2296, -66.687, 60.5105, 43.3779, 13.9243, -15.0639, -21.4062, 54.4523, 3.5803, 11.9099, 6.87734, -29.815, -67.7811, 4.47976, 5.29677, 13.8923, 6.84937
0.16, 347, 0.16, 189.661, 29.5678, 70.1925, 17.9768, -66.039, 60.5538, 43.522, 14.0075, -15.0262, -20.5004, 52.8904, 3.58056, 11.9109, 6.87791, -29.8419, -67.937, 4.38712, 5.29768, 13.8925, 6.8494
0.17, 347, 0.17, 189.661, 29.5678, 70.0714, 17.8142, -65.6172, 60.5827, 43.618, 14.0629, -14.9991, -19.9275, 51.9042, 3.58053, 11.9109, 6.87787, -29.858, -67.8431, 4.26528, 5.29881, 13.8926, 6.84933
0.18, 347, 0.18, 189.661, 29.5678, 69.8903, 17.5788, -64.9989, 60.626, 43.7621, 14.1461, -14.9587, -19.1108, 50.5008, 3.58022, 11.9098, 6.87727, -29.8796, -67.6999, 4.08247, 5.30015, 13.8924, 6.84908
0.19, 347, 0.19, 189.661, 29.5678, 69.7698, 17.4271, -64.5959, 60.6549, 43.8581, 14.2016, -14.9324, -18.5942, 49.6138, 3.57986, 11.9087, 6.8766, -29.9168, -67.7298, 4.01613, 5.30069, 13.8928, 6.84937
0.2, 347, 0.2, 189.661, 29.5678, 69.5894, 17.2072, -64.0043, 60.6982, 44.0022, 14.2848, -14.8929, -17.8593, 48.3582, 3.5797, 11.9082, 6.87632, -29.9537, -67.8471, 3.93865, 5.30139, 13.893, 6.84956
0.21, 347, 0.21, 189.661, 29.5678, 69.4694, 17.0654, -63.6181, 60.727, 44.0982, 14.3402, -14.8675, -17.394, 47.5672, 3.57977, 11.9084, 6.87644, -29.9671, -67.8068, 3.83189, 5.30252, 13.8932, 6.84953
0.22, 347, 0.22, 189.661, 29.5678, 69.2899, 16.8596, -63.0505, 60.7703, 44.2423, 14.4234, -14.8288, -16.728, 46.4389, 3.57983, 11.9086, 6.87653, -29.9824, -67.883, 3.74412, 5.3033, 13.8932, 6.84948
